TARGET,PACKET,STF1_SCID,STF1_FIFO,CCSDS_PKT_VER,CCSDS_PKT_TYP,CCSDS_SEC_FLG,CCSDS_APID,CCSDS_SEQ_FLAGS,CCSDS_SEQ_COUNT,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,GEIGER_HEADER_EXP_STATUS,GEIGER_HEADER_EXP_NUMBER,GEIGER_HEADER_SYNC_CFE_ELAPSED_SECONDS,GEIGER_HEADER_SYNC_CFE_ELAPSED_SUBSECONDS,GEIGER_HEADER_SYNC_FIRMWARE_TIME,GEIGER_HEADER_COMMAND_TIME,GEIGER_HEADER_PAYLOAD_SIZE,GEIGER_DATA_START_TM,GEIGER_DATA_STOP_TM,GEIGER_DATA_0_COUNTS,GEIGER_DATA_0_OVERFLO,GEIGER_DATA_1_COUNTS,GEIGER_DATA_1_OVERFLO,Unnamed: 26,CCSDS_SECONDS_SUBSECS
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,89.0,43.0,2338432.0,55370.0,0.0,1.0,2338417.0,2251718656.0,551875.0,567081.0,18.0,551987.0,567081.0,324.0,0.0,180.0,0.0,,2338432.0-55370.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,93.0,43.0,2338529.0,6638.0,0.0,1.0,2338513.0,1496715264.0,647707.0,663354.0,18.0,648024.0,663358.0,288.0,0.0,136.0,0.0,,2338529.0-6638.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,95.0,43.0,2338576.0,38171.0,0.0,1.0,2338561.0,1130250240.0,695628.0,710840.0,18.0,695741.0,710846.0,265.0,0.0,126.0,0.0,,2338576.0-38171.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,98.0,43.0,2338648.0,55673.0,0.0,1.0,2338633.0,2212765696.0,767883.0,783111.0,18.0,768004.0,783119.0,228.0,0.0,116.0,0.0,,2338648.0-55673.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,102.0,43.0,2338744.0,5994.0,0.0,1.0,2338728.0,2453667840.0,862944.0,878351.0,18.0,863049.0,878354.0,137.0,0.0,76.0,0.0,,2338744.0-5994.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,104.0,43.0,2338791.0,60886.0,0.0,1.0,2338776.0,2614620160.0,910989.0,926198.0,18.0,911097.0,926202.0,155.0,0.0,82.0,0.0,,2338791.0-60886.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,105.0,43.0,2338816.0,1189.0,0.0,1.0,2338800.0,1877577728.0,934818.0,950295.0,18.0,934932.0,950296.0,148.0,0.0,71.0,0.0,,2338816.0-1189.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,106.0,43.0,2338840.0,22810.0,0.0,1.0,2338824.0,2274840576.0,958916.0,974625.0,18.0,959266.0,974631.0,163.0,0.0,81.0,0.0,,2338840.0-22810.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,108.0,43.0,2338887.0,54270.0,0.0,1.0,2338872.0,2163675136.0,1006892.0,1022105.0,18.0,1007004.0,1022109.0,158.0,0.0,85.0,0.0,,2338887.0-54270.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,109.0,43.0,2338911.0,56483.0,0.0,1.0,2338896.0,2332450816.0,1030933.0,1046141.0,18.0,1031049.0,1046144.0,177.0,0.0,81.0,0.0,,2338911.0-56483.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,112.0,43.0,2338983.0,32442.0,0.0,1.0,2338968.0,749572096.0,1102570.0,1117783.0,18.0,1102681.0,1117785.0,357.0,0.0,177.0,0.0,,2338983.0-32442.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,113.0,43.0,2339007.0,16258.0,0.0,1.0,2338991.0,3963248640.0,1126327.0,1141544.0,18.0,1126445.0,1141549.0,390.0,0.0,195.0,0.0,,2339007.0-16258.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,114.0,43.0,2339031.0,14737.0,0.0,1.0,2339015.0,3899555840.0,1150319.0,1165526.0,18.0,1150429.0,1165533.0,443.0,0.0,219.0,0.0,,2339031.0-14737.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,115.0,43.0,2339055.0,12690.0,0.0,1.0,2339039.0,2771107840.0,1174056.0,1189496.0,18.0,1174172.0,1189496.0,410.0,0.0,205.0,0.0,,2339055.0-12690.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,116.0,43.0,2339078.0,62743.0,0.0,1.0,2339063.0,2716377088.0,1198046.0,1213259.0,18.0,1198156.0,1213260.0,282.0,0.0,140.0,0.0,,2339078.0-62743.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,117.0,43.0,2339103.0,550.0,0.0,1.0,2339087.0,2006720512.0,1221882.0,1237302.0,18.0,1221990.0,1237305.0,254.0,0.0,125.0,0.0,,2339103.0-550.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,120.0,43.0,2339174.0,40027.0,0.0,1.0,2339159.0,1199575040.0,1293712.0,1308922.0,18.0,1293822.0,1308928.0,139.0,0.0,66.0,0.0,,2339174.0-40027.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,123.0,43.0,2339245.0,62215.0,0.0,1.0,2339230.0,2681556992.0,1365068.0,1380281.0,18.0,1365174.0,1380289.0,139.0,0.0,67.0,0.0,,2339245.0-62215.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,127.0,43.0,2339341.0,49967.0,0.0,1.0,2339326.0,276836352.0,1460516.0,1476103.0,18.0,1460810.0,1476105.0,144.0,0.0,73.0,0.0,,2339341.0-49967.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,128.0,43.0,2339365.0,36007.0,0.0,1.0,2339350.0,752214016.0,1484624.0,1499889.0,18.0,1484735.0,1499889.0,136.0,0.0,69.0,0.0,,2339365.0-36007.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,129.0,43.0,2339914.0,54269.0,0.0,1.0,2339846.0,3571675136.0,989.0,16199.0,18.0,1100.0,16204.0,756.0,0.0,380.0,0.0,,2339914.0-54269.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,130.0,43.0,2340003.0,47765.0,0.0,1.0,2339923.0,1068494848.0,77417.0,92626.0,18.0,77524.0,92628.0,1042.0,0.0,532.0,0.0,,2340003.0-47765.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,133.0,43.0,2340134.0,37685.0,0.0,1.0,2340119.0,1074176000.0,273452.0,288668.0,18.0,273565.0,288669.0,1692.0,0.0,913.0,0.0,,2340134.0-37685.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,135.0,43.0,2340182.0,23421.0,0.0,1.0,2340166.0,3611312128.0,321049.0,336452.0,18.0,321163.0,336457.0,1287.0,0.0,672.0,0.0,,2340182.0-23421.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,136.0,43.0,2340206.0,5240.0,0.0,1.0,2340190.0,3259338752.0,344967.0,360176.0,18.0,345076.0,360181.0,1341.0,0.0,683.0,0.0,,2340206.0-5240.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,137.0,43.0,2340229.0,59693.0,0.0,1.0,2340214.0,2403913728.0,368769.0,384007.0,18.0,368901.0,384015.0,1387.0,0.0,956.0,0.0,,2340229.0-59693.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,140.0,43.0,2340301.0,51167.0,0.0,1.0,2340286.0,1975152640.0,440675.0,455885.0,18.0,440782.0,455886.0,1411.0,0.0,743.0,0.0,,2340301.0-51167.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,143.0,43.0,2340374.0,24260.0,0.0,1.0,2340359.0,201138176.0,513271.0,528484.0,18.0,513385.0,528490.0,1246.0,0.0,675.0,0.0,,2340374.0-24260.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,145.0,43.0,2340421.0,62743.0,0.0,1.0,2340406.0,2681221120.0,560860.0,576076.0,18.0,560972.0,576077.0,1360.0,0.0,679.0,0.0,,2340421.0-62743.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,146.0,43.0,2340445.0,45728.0,0.0,1.0,2340430.0,1611481088.0,584607.0,599821.0,18.0,584717.0,599831.0,1415.0,0.0,740.0,0.0,,2340445.0-45728.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,149.0,43.0,2340517.0,24752.0,0.0,1.0,2340502.0,234475520.0,656309.0,671516.0,18.0,656418.0,671522.0,1306.0,0.0,693.0,0.0,,2340517.0-24752.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,152.0,43.0,2340589.0,31507.0,0.0,1.0,2340574.0,664518656.0,728409.0,743623.0,18.0,728520.0,743625.0,1360.0,0.0,699.0,0.0,,2340589.0-31507.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,153.0,43.0,2340613.0,30630.0,0.0,1.0,2340597.0,3788681216.0,752137.0,767608.0,18.0,752244.0,767608.0,1308.0,0.0,633.0,0.0,,2340613.0-30630.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,154.0,43.0,2340637.0,38648.0,0.0,1.0,2340621.0,3726098432.0,776127.0,791745.0,18.0,776449.0,791753.0,1312.0,0.0,685.0,0.0,,2340637.0-38648.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,156.0,43.0,2340685.0,24431.0,0.0,1.0,2340669.0,3688845312.0,824125.0,839529.0,18.0,824237.0,839531.0,1374.0,0.0,685.0,0.0,,2340685.0-24431.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,157.0,43.0,2340709.0,44596.0,0.0,1.0,2340693.0,3525713920.0,848087.0,863838.0,18.0,848510.0,863845.0,1360.0,0.0,878.0,0.0,,2340709.0-44596.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,159.0,43.0,2340757.0,18288.0,0.0,1.0,2340741.0,4038926336.0,896211.0,911440.0,18.0,896338.0,911442.0,1274.0,0.0,621.0,0.0,,2340757.0-18288.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,160.0,43.0,2340781.0,42443.0,0.0,1.0,2340766.0,1408274432.0,920599.0,935809.0,18.0,920713.0,935818.0,1349.0,0.0,697.0,0.0,,2340781.0-42443.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,162.0,43.0,2340829.0,12753.0,0.0,1.0,2340813.0,3740065792.0,968148.0,983365.0,18.0,968261.0,983375.0,1258.0,0.0,667.0,0.0,,2340829.0-12753.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,163.0,43.0,2340852.0,59958.0,0.0,1.0,2340837.0,2565894144.0,991879.0,1007090.0,18.0,991984.0,1007099.0,1392.0,0.0,717.0,0.0,,2340852.0-59958.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,167.0,43.0,2340948.0,47182.0,0.0,1.0,2340933.0,1650487296.0,1087678.0,1102902.0,18.0,1087791.0,1102905.0,1346.0,0.0,701.0,0.0,,2340948.0-47182.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,168.0,43.0,2340972.0,35873.0,0.0,1.0,2340957.0,964009984.0,1111523.0,1126730.0,18.0,1111634.0,1126738.0,1445.0,0.0,741.0,0.0,,2340972.0-35873.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,171.0,43.0,2341044.0,5402.0,0.0,1.0,2341028.0,3285987328.0,1183068.0,1198277.0,18.0,1183176.0,1198280.0,1925.0,0.0,1335.0,0.0,,2341044.0-5402.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,173.0,43.0,2341091.0,48657.0,0.0,1.0,2341076.0,1818906624.0,1230727.0,1245938.0,18.0,1230834.0,1245948.0,1450.0,0.0,742.0,0.0,,2341091.0-48657.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,174.0,43.0,2341115.0,44669.0,0.0,1.0,2341100.0,1049718784.0,1254552.0,1269878.0,18.0,1254658.0,1269882.0,1373.0,0.0,707.0,0.0,,2341115.0-44669.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,175.0,43.0,2341139.0,64887.0,0.0,1.0,2341124.0,696946688.0,1278470.0,1294185.0,18.0,1278832.0,1294186.0,1288.0,0.0,664.0,0.0,,2341139.0-64887.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,178.0,43.0,2341211.0,20008.0,0.0,1.0,2341195.0,4231716864.0,1350302.0,1365509.0,18.0,1350414.0,1365518.0,917.0,0.0,438.0,0.0,,2341211.0-20008.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,181.0,43.0,2341283.0,10580.0,0.0,1.0,2341267.0,2624282624.0,1421927.0,1437369.0,18.0,1422035.0,1437370.0,731.0,0.0,371.0,0.0,,2341283.0-10580.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,184.0,43.0,2341355.0,7990.0,0.0,1.0,2341339.0,1577459712.0,1493691.0,1509316.0,18.0,1494018.0,1509321.0,518.0,0.0,250.0,0.0,,2341355.0-7990.0
Created /dev/stdout,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-nan
